scenario_name,replicate_id,c_index,duration_sec,ghost_estimator,survival_model,error,variable,relevance_score,relevance_rank
Linear_Uncorr_RSF_RFGhost,12,0.7728037262259024,0.7322332859039307,rf,rsf,,X5,26.464942743156467,5
Linear_Uncorr_RSF_RFGhost,13,0.7535852350667166,0.7341339588165283,rf,rsf,,X1,1130.1467206929724,3
Linear_Uncorr_RSF_RFGhost,13,0.7535852350667166,0.7341339588165283,rf,rsf,,X2,1435.1198032104853,1
Linear_Uncorr_RSF_RFGhost,13,0.7535852350667166,0.7341339588165283,rf,rsf,,X3,1168.6936848709897,2
Linear_Uncorr_RSF_RFGhost,13,0.7535852350667166,0.7341339588165283,rf,rsf,,X4,10.533460007809566,5
Linear_Uncorr_RSF_RFGhost,13,0.7535852350667166,0.7341339588165283,rf,rsf,,X5,14.105552641885648,4
Linear_Uncorr_RSF_RFGhost,14,0.8017052375152254,0.8245534896850586,rf,rsf,,X1,1037.5317276505307,3
Linear_Uncorr_RSF_RFGhost,14,0.8017052375152254,0.8245534896850586,rf,rsf,,X2,3751.9669717686843,1
Linear_Uncorr_RSF_RFGhost,14,0.8017052375152254,0.8245534896850586,rf,rsf,,X3,1876.8551077459992,2
Linear_Uncorr_RSF_RFGhost,14,0.8017052375152254,0.8245534896850586,rf,rsf,,X4,33.400829784895514,4
Linear_Uncorr_RSF_RFGhost,14,0.8017052375152254,0.8245534896850586,rf,rsf,,X5,27.025084324738202,5
Linear_Uncorr_RSF_RFGhost,15,0.785177545307205,0.8296289443969727,rf,rsf,,X1,542.8082066430457,2
Linear_Uncorr_RSF_RFGhost,15,0.785177545307205,0.8296289443969727,rf,rsf,,X2,1544.7554342238186,1
Linear_Uncorr_RSF_RFGhost,15,0.785177545307205,0.8296289443969727,rf,rsf,,X3,531.0601750947843,3
Linear_Uncorr_RSF_RFGhost,15,0.785177545307205,0.8296289443969727,rf,rsf,,X4,17.02086081741278,4
Linear_Uncorr_RSF_RFGhost,15,0.785177545307205,0.8296289443969727,rf,rsf,,X5,16.52080976100469,5
Linear_Uncorr_RSF_RFGhost,16,0.8299869621903521,0.7961916923522949,rf,rsf,,X1,1570.4992584622987,2
Linear_Uncorr_RSF_RFGhost,16,0.8299869621903521,0.7961916923522949,rf,rsf,,X2,909.6209363749637,3
Linear_Uncorr_RSF_RFGhost,16,0.8299869621903521,0.7961916923522949,rf,rsf,,X3,1715.1434343675173,1
Linear_Uncorr_RSF_RFGhost,16,0.8299869621903521,0.7961916923522949,rf,rsf,,X4,38.77154513566888,4
Linear_Uncorr_RSF_RFGhost,16,0.8299869621903521,0.7961916923522949,rf,rsf,,X5,8.979740157927026,5
Linear_Uncorr_RSF_RFGhost,17,0.8212452283796235,0.7022881507873535,rf,rsf,,X1,1086.5112077409906,3
Linear_Uncorr_RSF_RFGhost,17,0.8212452283796235,0.7022881507873535,rf,rsf,,X2,1192.9864956944082,2
Linear_Uncorr_RSF_RFGhost,17,0.8212452283796235,0.7022881507873535,rf,rsf,,X3,1688.7547401569987,1
Linear_Uncorr_RSF_RFGhost,17,0.8212452283796235,0.7022881507873535,rf,rsf,,X4,13.043135272272863,5
Linear_Uncorr_RSF_RFGhost,17,0.8212452283796235,0.7022881507873535,rf,rsf,,X5,16.343176873664405,4
Linear_Uncorr_RSF_RFGhost,18,0.7506579858706192,0.7633850574493408,rf,rsf,,X1,1407.9818160956936,3
Linear_Uncorr_RSF_RFGhost,18,0.7506579858706192,0.7633850574493408,rf,rsf,,X2,2340.3701452309865,1
Linear_Uncorr_RSF_RFGhost,18,0.7506579858706192,0.7633850574493408,rf,rsf,,X3,2113.290007232083,2
Linear_Uncorr_RSF_RFGhost,18,0.7506579858706192,0.7633850574493408,rf,rsf,,X4,10.777101187871116,5
Linear_Uncorr_RSF_RFGhost,18,0.7506579858706192,0.7633850574493408,rf,rsf,,X5,16.663808477179483,4
Linear_Uncorr_RSF_RFGhost,19,0.7699696048632219,0.6982178688049316,rf,rsf,,X1,1287.1236593222857,2
Linear_Uncorr_RSF_RFGhost,19,0.7699696048632219,0.6982178688049316,rf,rsf,,X2,1564.9675285511576,1
Linear_Uncorr_RSF_RFGhost,19,0.7699696048632219,0.6982178688049316,rf,rsf,,X3,1245.0763392141325,3
Linear_Uncorr_RSF_RFGhost,19,0.7699696048632219,0.6982178688049316,rf,rsf,,X4,34.734876857998316,4
Linear_Uncorr_RSF_RFGhost,19,0.7699696048632219,0.6982178688049316,rf,rsf,,X5,18.05059089268991,5
Linear_Uncorr_RSF_RFGhost,20,0.769606512890095,0.7232699394226074,rf,rsf,,X1,1397.3638495865612,2
Linear_Uncorr_RSF_RFGhost,20,0.769606512890095,0.7232699394226074,rf,rsf,,X2,1835.4109305800832,1
Linear_Uncorr_RSF_RFGhost,20,0.769606512890095,0.7232699394226074,rf,rsf,,X3,1341.4753919604639,3
Linear_Uncorr_RSF_RFGhost,20,0.769606512890095,0.7232699394226074,rf,rsf,,X4,19.44877461660205,4
Linear_Uncorr_RSF_RFGhost,20,0.769606512890095,0.7232699394226074,rf,rsf,,X5,16.078788210169694,5
Linear_Uncorr_RSF_RFGhost,21,0.8287973043027476,0.7142980098724365,rf,rsf,,X1,1217.830332482808,2
Linear_Uncorr_RSF_RFGhost,21,0.8287973043027476,0.7142980098724365,rf,rsf,,X2,421.7467851485366,3
Linear_Uncorr_RSF_RFGhost,21,0.8287973043027476,0.7142980098724365,rf,rsf,,X3,2010.1570290409518,1
Linear_Uncorr_RSF_RFGhost,21,0.8287973043027476,0.7142980098724365,rf,rsf,,X4,71.12866758487544,4
Linear_Uncorr_RSF_RFGhost,21,0.8287973043027476,0.7142980098724365,rf,rsf,,X5,5.893976817990636,5
Linear_Uncorr_RSF_RFGhost,22,0.7788842078386314,0.7170705795288086,rf,rsf,,X1,1734.886065136281,1
